"genotype" "treatment" "length" "shoot" "root"
"143" "D" "0.3" 1 0.118 0.057
"144" "D" "0.3" 1 0.102 0.045
"145" "A" "control" 5.3 0.739 0.28
"146" "A" "control" 5.1 0.683 0.199
"147" "A" "control" 5 0.563 0.138
"148" "A" "control" 5.1 0.838 0.338
"149" "A" "control" 6.1 0.51 0.148
"150" "A" "control" 5.6 0.558 0.145
"151" "A" "0.1" 2.6 0.352 0.134
"152" "A" "0.1" 3.9 0.525 0.265
"153" "A" "0.1" 4.3 0.328 0.127
"154" "A" "0.1" 3.1 0.512 0.268
"155" "A" "0.1" 1 0.284 0.108
"156" "A" "0.1" 2.9 0.454 0.201
"157" "A" "0.2" 0.9 0.122 0.041
"158" "A" "0.2" 1.6 0.194 0.093
"159" "A" "0.2" 1.7 0.209 0.09
"160" "A" "0.2" 2.7 0.244 0.082
"161" "A" "0.2" 1.5 0.161 0.038
"162" "A" "0.2" 2.8 0.234 0.08
"163" "A" "0.3" 1.3 0.121 0.035
"164" "A" "0.3" 1.1 0.14 0.03
"165" "A" "0.3" 0.8 0.093 0.007
"166" "A" "0.3" 0.8 0.115 0.019
"167" "A" "0.3" 1 0.124 0.035
"168" "A" "0.3" 1 0.141 0.021
"169" "C" "control" 1.9 0.3 0.053
"170" "C" "control" 2.6 0.315 0.1
"171" "C" "control" 2.1 0.226 0.065
"172" "C" "control" 2.5 0.3 0.068
"173" "C" "control" 2.8 0.254 0.011
"174" "C" "control" NA NA NA
"175" "C" "0.1" 1.3 0.225 0.103
"176" "C" "0.1" 1.8 0.189 0.051
"177" "C" "0.1" 2.3 0.29 0.118
"178" "C" "0.1" 2.1 0.33 0.06
"179" "C" "0.1" 1.3 0.186 0.061
"180" "C" "0.1" NA NA NA
"181" "C" "0.2" 1.2 0.18 0.098
"182" "C" "0.2" 1.1 0.127 0.045
"183" "C" "0.2" 1.3 0.122 0.034
"184" "C" "0.2" 1.2 0.125 0.015
"185" "C" "0.2" 1.5 0.196 0.064
"186" "C" "0.2" NA NA NA
"187" "C" "0.3" 0.5 0.057 0.006
"188" "C" "0.3" 1 0.12 0.013
"189" "C" "0.3" 0.6 0.084 0.021
"190" "C" "0.3" 0.6 0.082 0.007
"191" "C" "0.3" 0.7 0.087 0.036
"192" "C" "0.3" NA NA NA
"193" "H" "control" 3.3 0.469 0.602
"194" "H" "control" 3.4 0.504 0.492
"195" "H" "control" 3.1 0.465 0.443
"196" "H" "control" 3 0.464 0.347
"197" "H" "control" 3.3 0.445 0.413
"198" "H" "control" NA NA NA
"199" "H" "0.1" 2.4 0.315 0.574
"200" "H" "0.1" 2.2 0.276 0.463
"201" "H" "0.1" 2.1 0.254 0.365
"202" "H" "0.1" 2.4 0.294 0.592
"203" "H" "0.1" 2.1 0.286 0.43
"204" "H" "0.1" NA NA NA
"205" "H" "0.2" 2.1 0.127 0.153
"206" "H" "0.2" 1.4 0.149 0.221
"207" "H" "0.2" 1.6 0.178 0.22
"208" "H" "0.2" 1.5 0.163 0.114
"209" "H" "0.2" 1.3 0.175 0.133
"210" "H" "0.2" NA NA NA
"211" "H" "0.3" 1.2 0.083 0.053
"212" "H" "0.3" 1.1 0.105 0.091
"213" "H" "0.3" 0.6 0.093 0.046
"214" "H" "0.3" 1.1 0.161 0.122
"215" "H" "0.3" 0.7 0.079 0.05
"216" "H" "0.3" NA NA NA
